Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCSENSEX,EQ,94.05,0.19,996.77,0.26,0.24
RCOM,BE,1.07,-1.83,295.91,22.37,0.24
ESFL,SM,137,-0.72,340.29,0.18,0.24
TRANSWORLD,EQ,172.9,-3.8,379.65,0.14,0.24
TGL,ST,47.85,-4.68,57.42,0.5,0.24
SCPL,EQ,331,-0.94,347.55,0.07,0.24
PUSHPA,SM,89,0,215.58,0.27,0.24
LOKESHMACH,EQ,170,-1.96,339.95,0.14,0.24
DYNPRO,EQ,218.15,-0.37,271.13,0.11,0.24
BAGDIGITAL,SM,112.05,-1.49,237.76,0.21,0.24
JEYYAM,SM,40.45,-4.6,192.12,0.58,0.23
KRONOX,EQ,124.95,-0.96,463.61,0.19,0.23
890AEL31,NN,1007,0.4,205.58,0.02,0.23
MAZDA,EQ,212.9,-0.66,426.33,0.11,0.23
MOM50,EQ,266.47,-0.18,57.95,0.09,0.23
BYKE,EQ,52.13,0.02,272.53,0.44,0.23
AVANA,SM,71,-2.14,160.78,0.32,0.23
GRAPHISAD,SM,43.8,4.78,80.05,0.54,0.23
SGBMAR30X,GB,15716.67,-0.63,2419.89,0,0.22
BBETF0432,EQ,1315.5,0.43,10612.66,0.02,0.22
HPAL,EQ,41.39,3.35,380.27,0.55,0.22
SAHAJSOLAR,SM,144.2,1.02,316.84,0.16,0.22
ATLANTAA,EQ,45.01,0.07,366.83,0.49,0.22
PURPLEUTED,SM,385,-0.21,369.98,0.06,0.22
HLVLTD,EQ,8.46,1.08,557.73,2.62,0.22
HDFCPSUBK,EQ,90,0.4,30.26,0.25,0.22
GOLDTECH,EQ,43,-3.28,224.73,0.51,0.22
MANAKSTEEL,EQ,62.5,2.54,409.59,0.35,0.22
SGBJUL29IV,GB,15310,-2.42,4476.28,0,0.22
BPL,EQ,59.01,1.72,289.01,0.37,0.22
TEXINFRA,EQ,97.45,-1.35,1241.77,0.22,0.22
GLOSTERLTD,EQ,587,-5.56,642.37,0.04,0.22
GCSL,BE,346.5,5,784.45,0.06,0.22
FINKURVE,EQ,92.5,-5.07,1295.47,0.22,0.22
BOROSCI,EQ,104.99,-0.77,933.86,0.2,0.21
KCPSUGIND,EQ,22.47,1.26,254.78,0.96,0.21
MOHEALTH,EQ,42.75,-0.02,41.85,0.5,0.21
HDFCBSE500,EQ,37.65,0.43,20.4,0.57,0.21
HMAAGRO,EQ,27.35,-0.4,1369.61,0.78,0.21
CORDSCABLE,EQ,170.9,-0.1,220.94,0.13,0.21
VASWANI,EQ,55.22,3.6,173.09,0.39,0.21
UEL,EQ,173.05,10,2308.45,0.12,0.21
OMFREIGHT,EQ,91.22,-0.69,307.19,0.23,0.21
SGBAUG29V,GB,15710,-1.4,3601.9,0,0.21
INDTERRAIN,EQ,37.17,1.03,188.33,0.55,0.21
HCL-INSYS,EQ,12.78,-0.31,420.73,1.59,0.21
NEOCHEM,SM,79,3.95,135.25,0.26,0.2
UMIYA-MRO,EQ,92.26,-2.35,172.38,0.22,0.2
SUBAHOTELS,SM,120.3,1.35,291.64,0.17,0.2
SAKUMA,EQ,2,2.56,313.54,10.33,0.2
PRIMO,EQ,22.45,2.65,544.06,0.91,0.2
NIBL,EQ,28.9,-5.15,70.03,0.68,0.2
VIRINCHI,EQ,20.77,-3.35,213.2,0.95,0.2
OSIAHYPER,EQ,13.91,-1.07,228.92,1.43,0.2
CUDML,SM,122.3,-4.38,215.81,0.16,0.2
EFFWA,SM,205,0.79,474.52,0.1,0.2
SPENCERS,EQ,38.5,-2.56,347.01,0.51,0.2
GLOBECIVIL,EQ,53.13,-0.64,317.29,0.37,0.2
NOVAAGRI,EQ,33.6,-1.29,310.87,0.58,0.2
ALICON,EQ,724.95,-1.66,1184.34,0.03,0.19
RKEC,EQ,44,1.57,113.61,0.45,0.19
738GS2027,GS,102.85,-0.06,146047,0.19,0.19
TRIGYN,EQ,66.78,-1.77,205.59,0.29,0.19
LEXUS,EQ,26.75,11.41,54.81,0.72,0.19
DRCSYSTEMS,EQ,17.65,5.56,254.3,1.12,0.19
VISHWARAJ,EQ,5.96,-0.83,129.83,3.21,0.19
VIJIFIN,EQ,2.34,-4.88,33.34,8.22,0.19
KODYTECH,ST,752,1.62,958.62,0.03,0.19
GVKPIL,BE,3.04,1.67,479.9,6.36,0.19
TUNWAL,SM,29,-0.68,167.31,0.66,0.19
DPWIRES,EQ,165.08,-1.53,255.88,0.12,0.19
SUDARCOLOR,EQ,362.1,-2.02,835.79,0.05,0.19
GROWWSC250,EQ,9.15,-0.54,12.11,2.07,0.19
764IRFC31,NO,1108,-0.18,1323.3,0.02,0.19
POLYSIL,ST,215.95,1.86,486,0.09,0.19
VISAMAN,ST,132,1.69,255.7,0.15,0.19
MIDSELIETF,EQ,18.24,1.05,94.56,1.04,0.19
YUKEN,EQ,795.65,-1.35,1080.81,0.02,0.18
VIVIMEDLAB,EQ,7.21,-4.88,59.78,2.53,0.18
AFIL,EQ,5.44,2.45,232.15,3.46,0.18
ZEELEARN,EQ,6.2,-1.43,202.78,2.98,0.18
DIGISPICE,EQ,19.9,-0.7,466.6,0.89,0.18
GEEKAYWIRE,EQ,28,-0.78,292.66,0.65,0.18
LORDSCHLO,EQ,155.54,-0.17,391.24,0.12,0.18
HTMEDIA,EQ,22.99,4.36,419.92,0.82,0.18
MEDICO,EQ,47.7,-1.24,395.83,0.38,0.18
TARMAT,EQ,53.5,-7.92,134.09,0.33,0.18
ADDICTIVE,SM,104,-0.1,165.46,0.17,0.18
RNFI,SM,310,2.99,776.88,0.06,0.18
PLAZACABLE,EQ,39.5,-1.27,172.82,0.45,0.18
THOMASCOTT,EQ,325,1.77,476.79,0.06,0.18
SHIVASHRIT,SM,126.6,-1.75,231.29,0.14,0.18
CENTRUM,EQ,25.9,3.19,1190.31,0.71,0.18
SEMAC,EQ,257.2,-4.69,80.18,0.07,0.18
GREENLAM,EQ,253.1,-1.96,6457.79,0.07,0.18
SUPREMEPWR,SM,180,1.12,449.84,0.1,0.18
KRISHIVAL,EQ,330,-1.26,845.73,0.05,0.18
DBEIL,EQ,92.5,1.59,430.87,0.19,0.18
MANOMAY,BE,218.7,-2.36,394.73,0.08,0.18
BEDMUTHA,EQ,132.3,-2.4,426.85,0.13,0.18
NIRAJ,EQ,31.7,1.93,189.23,0.57,0.18
MULTICAP,EQ,16.22,0.25,66.32,1.1,0.18
EIFFL,EQ,248,-1.29,615.04,0.07,0.18
111ESFB31,N0,96000.01,-1.72,62.4,0,0.18
PRABHA,EQ,162,-2.34,2217.87,0.11,0.17
PRUDMOULI,EQ,17.9,-0.06,57.73,0.97,0.17
NAMOEWASTE,SM,182,0.47,416.19,0.1,0.17
GINNIFILA,EQ,41.87,1.01,358.62,0.42,0.17
SPECTSTM,SM,95.5,0.53,220.54,0.18,0.17
SDREAMS,SM,96,2.67,179.73,0.18,0.17
UMAEXPORTS,EQ,34.26,2.33,115.83,0.5,0.17
LINC,EQ,113.42,-3.42,674.73,0.15,0.17
APOLSINHOT,EQ,1236,-3.3,321.41,0.01,0.17
VISASTEEL,EQ,36.6,-3.53,423.79,0.46,0.17
RHFL,BZ,2.82,1.08,136.65,6.17,0.17
MOGSEC,EQ,63.2,-2.59,154.02,0.27,0.17
IEML,SM,71.75,-1.1,131.54,0.23,0.17
ARABIAN,SM,70,2.87,76.24,0.24,0.17
UTSSAV,SM,212,0.26,504.94,0.08,0.17
JAYSREETEA,EQ,85.02,-1.55,245.52,0.19,0.16
APCL,EQ,144.4,5.2,424.17,0.12,0.16
SADHAV,SM,99,-2.85,142.09,0.17,0.16
SETCO,EQ,15.57,-4.95,208.28,1.03,0.16
DIVIDEND,EQ,37.12,-0.16,8.18,0.44,0.16
KMSUGAR,EQ,23.68,-0.38,217.86,0.69,0.16
MOXSH,ST,85,4.94,76.19,0.19,0.16
BANKPSU,EQ,88.84,-0.86,66.51,0.18,0.16
AVG,EQ,150.3,-1.66,226.32,0.11,0.16
PELATRO,SM,302.4,-7.38,320.47,0.05,0.16
SAHYADRI,EQ,261,1.34,285.7,0.06,0.16
