Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
NGIL,EQ,26.53,-3.81,46.53,0.11,0.03
TREJHARA,BE,191.94,0.42,451.17,0.02,0.03
NAHARCAP,EQ,242.4,-0.55,405.93,0.01,0.03
NIFTY100EW,EQ,34.05,0.24,5.94,0.09,0.03
699GS2026,GS,102.2,0.04,57232,0.03,0.03
ACL,EQ,58.5,-0.22,539.21,0.05,0.03
AHLEAST,EQ,142.2,-1.45,245.89,0.02,0.03
ATAM,EQ,73.1,-2.39,83.79,0.04,0.03
AMBEY,SM,30,1.01,74.84,0.1,0.03
SHKSIL,SM,48,2.67,92.12,0.06,0.03
HARRMALAYA,EQ,161.96,0.36,298.9,0.02,0.03
STEELCITY,EQ,82.55,-0.98,124.71,0.04,0.03
895AEL27,N9,1036.2,0.02,84.44,0,0.03
842IIFL26,NL,988.1,0.06,145.5,0,0.03
GEECEE,EQ,309.6,0,647.43,0.01,0.03
EASTSILK,BE,70.99,-0.49,35.49,0.04,0.03
MEP,BZ,1.29,-1.53,23.66,2.22,0.03
SGBJ28VIII,GB,15592,-1.5,814.09,0,0.03
MODTHREAD,EQ,43.48,0,151.2,0.07,0.03
MUKTAARTS,EQ,60.99,-1.31,137.75,0.05,0.03
698GR2054,GS,94.1,0.11,28230,0.03,0.03
FIDEL,SM,142,-8.39,195.26,0.02,0.03
AGNI,SM,19.4,2.37,37.9,0.15,0.03
AMEYA,SM,94,4.04,70.5,0.03,0.03
BALPHARMA,EQ,68.71,-2.29,109.39,0.04,0.03
YASHOPTICS,SM,117.5,0.43,291,0.02,0.03
738REC27TF,N2,1040.8,0.07,886.8,0,0.03
HALEOSLABS,BE,1270,0.84,383.96,0,0.03
863NHB29,N2,5475,0.23,445.84,0,0.03
CCHHL,EQ,13.35,-0.74,218.23,0.21,0.03
MAGSON,SM,137.6,-0.29,156.52,0.02,0.03
NOIDATOLL,EQ,3.78,0,70.38,0.72,0.03
MADHUSUDAN,SM,135,-2.28,195.34,0.02,0.03
MASON,SM,180,1.9,430.92,0.01,0.03
PODDARMENT,EQ,247,-0.07,262.07,0.01,0.03
SHEKHAWATI,EQ,15,1.28,51.7,0.18,0.03
PEARLPOLY,EQ,18.5,-2.99,31.14,0.14,0.03
ACCURACY,EQ,5.18,-0.19,77.99,0.52,0.03
TOKYOPLAST,EQ,101,-0.39,95.96,0.03,0.03
LYPSAGEMS,EQ,5.35,0,15.77,0.49,0.03
KAKATCEM,EQ,118.35,-2.46,92,0.02,0.03
KONTOR,SM,60,-1.64,37.08,0.04,0.03
COUNCODOS,EQ,5.09,-0.78,39.5,0.53,0.03
EMMIL,SM,148,-2.57,167.63,0.02,0.03
GREENCHEF,SM,47.9,4.13,111.47,0.06,0.03
SNXT50BETA,EQ,92.65,0.68,30.25,0.03,0.03
ECOLINE,SM,134,1.52,274.91,0.02,0.03
SFML,SM,27.75,2.4,68.9,0.1,0.03
1003ISFL28,N4,1010,-0.2,81.19,0,0.03
DHRUV,EQ,34.99,1.69,66.36,0.07,0.03
RUCHINFRA,EQ,6,-0.83,141.61,0.42,0.03
WINSOL,SM,128.95,-0.42,148.75,0.02,0.03
OBCL,EQ,54.35,-1.45,114.58,0.05,0.03
INNOMET,SM,69.25,-4.48,89.61,0.04,0.03
DCI,EQ,237.2,0.33,379.52,0.01,0.03
OPTIVALUE,SM,79,0,184.95,0.03,0.03
MARC,SM,52.5,-1.5,90.9,0.05,0.03
REGENCERAM,EQ,46.99,2.85,124.25,0.05,0.03
MRIL,SM,53,-5.36,117.15,0.05,0.03
INCREDIBLE,EQ,36,-1.5,168.35,0.07,0.03
81TCHF28,N8,1015.12,-0.01,38.86,0,0.03
HEALTHADD,EQ,142.8,-0.62,10.67,0.02,0.02
WORTHPERI,EQ,136.05,-0.5,214.29,0.02,0.02
901HUDCO34,NE,1240,-0.32,832.23,0,0.02
CORALFINAC,EQ,34.5,0.17,139.04,0.07,0.02
892NHPC33,N6,1302,0,330.22,0,0.02
VLINFRA,SM,27.9,1.45,43.84,0.09,0.02
SNXT30BEES,EQ,40.57,-0.07,4.64,0.06,0.02
RADIOCITY,EQ,6.2,-0.32,214.33,0.4,0.02
GANGAFORGE,EQ,3.41,0,45.97,0.73,0.02
WTICAB,SM,123.4,4.27,293.84,0.02,0.02
TROM,SM,58.45,-2.42,53.74,0.04,0.02
SWASTIK,SM,20.25,-3.57,47.04,0.12,0.02
BARFLEX,SM,61,0.08,150.97,0.04,0.02
LOVABLE,EQ,74.66,-2.2,110.5,0.03,0.02
ETML,SM,101,-3.81,196.71,0.02,0.02
AGRITECH,BE,137.94,1.42,81.94,0.02,0.02
729IRFC26,NN,1020.33,-0.31,194.59,0,0.02
NEPTUNE,SM,241.45,-0.8,546.97,0.01,0.02
BALKRISHNA,EQ,16.89,-0.47,54.42,0.14,0.02
RVHL,EQ,49.29,6.5,302.27,0.05,0.02
AGARWALFT,SM,31,0,22.45,0.07,0.02
DHARIWAL,ST,78.7,1.94,369.95,0.03,0.02
TOP20,EQ,9.51,0.74,9.3,0.25,0.02
ZENITHDRUG,SM,49,-0.1,84.03,0.05,0.02
USHAFIN,SM,29.05,-0.51,126.3,0.08,0.02
RAJRILTD,BE,21.85,1.96,1215.04,0.11,0.02
ENIFTY,EQ,25.72,-0.5,16.9,0.09,0.02
MONEXT50,EQ,68.5,0.06,2.16,0.03,0.02
BAGFILMS,EQ,5.55,1.83,109.75,0.41,0.02
SPEB,SM,55.8,0,125.35,0.04,0.02
SILKFLEX,SM,111.5,4.99,129.42,0.02,0.02
891IIFCL34,N4,1225,0.04,729.98,0,0.02
ROML,EQ,44,-1.23,65.95,0.05,0.02
PURVFLEXI,SM,70,1.45,146.88,0.03,0.02
DCM,EQ,87.9,-0.37,164.18,0.03,0.02
MILTON,ST,50,-1.96,84.97,0.04,0.02
POSITRON,SM,182,0.28,138.33,0.01,0.02
9PCHFL31A,NA,1070.1,0.95,164.8,0,0.02
HISARMETAL,EQ,158.18,-1.25,85.42,0.01,0.02
PAR,EQ,90.65,-0.31,111.54,0.02,0.02
SUVIDHAA,EQ,3.06,0.99,64.2,0.72,0.02
AISL,SM,72.6,-3.97,84.85,0.03,0.02
ASPINWALL,EQ,211.55,-2.49,165.4,0.01,0.02
AKANKSHA,SM,72,0.07,140.98,0.03,0.02
KHFM,SM,72.95,8.72,168.59,0.03,0.02
GSTL,ST,21.35,1.43,34.03,0.1,0.02
VIVIDHA,EQ,0.58,0,16.98,3.7,0.02
PAVNAIND,EQ,18.3,-2.97,255.34,0.11,0.02
SMARTLINK,EQ,128.07,-1.36,127.75,0.02,0.02
CYBERMEDIA,EQ,15.86,2.65,24.85,0.13,0.02
9MMFSML,N2,1058,0,0,0,0.02
TOUCHWOOD,EQ,92.51,0.71,102.51,0.02,0.02
MAGNUM,EQ,21.3,-0.09,145.72,0.1,0.02
ATLASCYCLE,EQ,93.5,0.09,60.81,0.02,0.02
930AEL30,NF,1055,-0.33,236.57,0,0.02
SHIVAMILLS,EQ,56,-3.99,48.39,0.03,0.02
DEEM,SM,39.7,-7.24,33.1,0.05,0.02
948SCL26B,Y8,988.65,0,11.25,0,0.02
SIDDHIKA,SM,196.7,0,121.54,0.01,0.02
GAJANAND,SM,9.45,-2.07,17.8,0.21,0.02
AUROIMPEX,SM,30.5,-4.98,37.21,0.06,0.02
12AFIL28,N0,9800,0,49,0,0.02
MOMENTUM30,EQ,30.9,0.46,5.76,0.06,0.02
AIROLAM,EQ,95,3.81,142.52,0.02,0.02
SONAMAC,SM,38.2,-3.05,52.43,0.05,0.02
SNEHAA,SM,48.5,2.65,49.37,0.04,0.02
SHRADHA,EQ,38.25,-1.77,309.82,0.05,0.02
VIGOR,SM,60,0.5,62.11,0.03,0.02
QUALITY30,EQ,20.88,-0.76,2.43,0.09,0.02
PARASPETRO,BE,2.25,-4.66,75.2,0.85,0.02
HINDCON,EQ,22.5,-0.31,115.18,0.08,0.02
9AEL30,NE,1015,-0.37,76,0,0.02
AXSENSEX,EQ,85.55,-0.12,135.34,0.02,0.02
MOPSE,EQ,104.52,0.23,1.25,0.02,0.02
LRRPL,SM,63,-0.24,54.44,0.03,0.02
AKI,EQ,6.6,2.8,68.12,0.29,0.02
ANMOL,EQ,11.92,-0.25,67.84,0.16,0.02
UHTL,SM,46,-4.17,87.42,0.04,0.02
MOHITIND,EQ,25.88,-3.03,36.64,0.07,0.02
764HUDCO31,N8,1095.51,-1.13,609.27,0,0.02
DESTINY,SM,124.3,4.45,191.27,0.01,0.02
BLUECHIP,BE,2.31,1.76,12.78,0.81,0.02
VIESL,ST,231.5,-0.22,570.47,0.01,0.02
HALDER,BE,280,-0.74,348.27,0.01,0.02
RULKA,SM,100,-2.44,42.58,0.02,0.02
SKP,SM,182.5,4.82,302.95,0.01,0.02
KAYTEX,SM,57.5,0,84.52,0.03,0.02
INFOMEDIA,EQ,5.62,-5.7,28.21,0.32,0.02
LICNETFN50,EQ,285.5,0.26,915.76,0.01,0.02
1050NFL26,N7,1000,0,67.5,0,0.02
EMAPARTNER,SM,85,-7.46,197.59,0.02,0.02
KANANIIND,EQ,1.73,2.98,34.23,1.03,0.02
GROWWLOVOL,EQ,10.63,1.14,4.51,0.17,0.02
MFML,EQ,25.04,2.08,26.59,0.07,0.02
DANGEE,EQ,3.03,-1.94,46.65,0.58,0.02
182D230726,TB,97.11,-0.19,11653.2,0.02,0.02
730PFCL41,NC,962.67,-0.15,21.01,0,0.02
0MOFSL26,N1,1157.5,0.04,28.96,0,0.02
PRITI,EQ,51.55,-1.88,68.84,0.03,0.02
DELTAMAGNT,EQ,65.35,2.24,70.91,0.03,0.02
LAGNAM,EQ,75.31,2.27,133.07,0.02,0.02
PSFL,SM,28.5,1.79,56.09,0.06,0.02
MITCON,EQ,59.7,1.91,103.99,0.03,0.02
GKWLIMITED,EQ,1694,-0.29,1010.73,0,0.02
PRECISION,SM,9.25,4.52,21.24,0.18,0.02
ROXHITECH,SM,34.25,0,78.21,0.05,0.02
IVZINNIFTY,EQ,2910.8,-0.66,96.84,0,0.02
FALCONTECH,SM,15.25,-0.65,8.17,0.11,0.02
743REC35,NH,1164,0.32,216.57,0,0.02
MOMGF,EQ,153.28,-0.48,1.92,0.01,0.02
SANWARIA,BZ,0.32,3.23,23.56,5.01,0.02
WHITEFORCE,SM,50,0,58,0.03,0.02
648GS2035,GS,99.75,-0.1,159600,0.02,0.02
LAL,EQ,8.17,-3.43,141.13,0.19,0.02
IIFLZC28,NG,1536.9,-0.21,104.73,0,0.02
BMETRICS,SM,39.5,3.95,48.64,0.04,0.02
MASTER,SM,315,-1.67,126,0.01,0.02
MAITREYA,SM,196,-3.92,132.81,0.01,0.02
8SMC29,N1,515,0.98,103,0,0.02
TRIDHYA,SM,13.05,-4.04,30.39,0.12,0.02
PKTEA,EQ,670.1,-4.95,207.45,0,0.02
INTEGRITY,SM,130,1.96,55.9,0.01,0.02
CALSOFT,EQ,14.22,-0.77,87.92,0.11,0.02
REXPRO,SM,50.85,6.6,56.98,0.03,0.02
970CAGL28,ND,1025.5,0.44,259.69,0,0.02
SUNDARAM,EQ,1.64,-0.61,77.72,0.94,0.02
DTL,SM,128,0,105.74,0.01,0.02
RUBYMILLS,EQ,208.33,0.33,696.66,0.01,0.02
KHAITANLTD,EQ,100.5,2.54,47.74,0.02,0.02
AKASH,EQ,24.35,-0.57,41.06,0.06,0.02
1060ECL29,NS,1015,-1.43,198.19,0,0.01
AXISBNKETF,EQ,617.36,-0.13,420.32,0,0.01
SATECH,ST,49.85,0.5,65.09,0.03,0.01
BEARDSELL,EQ,28.5,0.71,112.4,0.05,0.01
DCG,SM,60,0,108.9,0.02,0.01
LOWVOL,EQ,210.21,-0.01,48.63,0.01,0.01
SHEEL,SM,70,3.02,142.47,0.02,0.01
ROLLT,BE,1.24,-0.8,31.02,1.11,0.01
AARADHYA,SM,115,0.88,162.59,0.01,0.01
BBNPNBETF,EQ,60.6,1,4.47,0.02,0.01
HEADSUP,EQ,8.65,1.65,19.1,0.16,0.01
VIAZ,SM,67.9,4.46,91.24,0.02,0.01
KORE,ST,135.45,-4.28,164.23,0.01,0.01
1018GS2026,GS,105.5,-1.22,15825,0.01,0.01
AUSL,SM,22.5,0,55.88,0.06,0.01
LPDC,EQ,6.75,3.37,90.55,0.2,0.01
1050UCL28,NH,1020,0,56.04,0,0.01
DTIL,EQ,145.97,1,153.38,0.01,0.01
LAXMICOT,EQ,13.63,-4.01,23.37,0.09,0.01
SHRITECH,SM,65,0,162.18,0.02,0.01
SITINET,BZ,0.36,2.86,31.39,3.71,0.01
FMNL,EQ,7.87,0,47.73,0.16,0.01
EQUAL200,EQ,13.31,-0.15,16.93,0.1,0.01
ASHALOG,SM,64,-3.03,86.76,0.02,0.01
PANSARI,BE,296,-4.52,516.43,0,0.01
SAMBHAAV,BE,7.9,1.28,150.98,0.16,0.01
VIPULLTD,BE,10.38,-1.98,146.32,0.12,0.01
VITAL,SM,51.55,1.88,123.47,0.02,0.01
SECMARK,EQ,101,-2.51,105.51,0.01,0.01
DIL,BZ,1.34,0.75,21.81,0.93,0.01
TREEHOUSE,EQ,7.77,4.44,32.88,0.16,0.01
746GS2073,GS,102.5,0.49,119925,0.01,0.01
MANAV,SM,29.9,3.64,39.35,0.04,0.01
LASA,EQ,8.9,-0.67,44.59,0.13,0.01
NIDAN,SM,16.8,7.35,23.35,0.07,0.01
866NTPC33,N3,1290,0.01,402.52,0,0.01
MASKINVEST,EQ,142,2.19,43.33,0.01,0.01
ARENTERP,EQ,38,-6.31,11.81,0.03,0.01
FINBUD,SM,113.9,1.61,216.97,0.01,0.01
ALKALI,EQ,70.49,0.87,71.78,0.02,0.01
ANTGRAPHIC,EQ,0.92,-3.16,14.26,1.22,0.01
NAGREEKEXP,EQ,26.99,2.98,84.34,0.04,0.01
706GS2046,GS,101,-4.72,85850,0.01,0.01
TAINWALCHM,EQ,170.99,-0.3,160.11,0.01,0.01
XTGLOBAL,EQ,29.75,-0.03,397.35,0.04,0.01
ARCHIES,EQ,16.4,0.99,55.4,0.07,0.01
RAJTV,EQ,41,0.49,212.84,0.03,0.01
KRISHPP,E1,108.85,1.73,36.28,0.01,0.01
622GS2035,GS,99,0.61,101351.58,0.01,0.01
BOHRAIND,EQ,19.73,0.92,41.77,0.06,0.01
HMT,BZ,43.69,0.67,2056.36,0.03,0.01
DKEGL,SM,72,0,54.06,0.01,0.01
KCK,SM,21.6,0,137.38,0.05,0.01
676GS2061,GS,94.6,0.12,134426.18,0.01,0.01
10IIFL28A,NE,1070,0.47,293.92,0,0.01
82IGT31,NJ,1070,0,641.13,0,0.01
CURIS,SM,107,1.37,86.5,0.01,0.01
MCON,ST,53.05,-1.94,38.88,0.02,0.01
741GS2036,GS,104.75,-0.57,157125,0.01,0.01
VERTEXPLUS,SM,90,-1.1,49.32,0.01,0.01
LAMOSAIC,SM,29.85,0.17,30.86,0.04,0.01
ABHAPOWER,SM,32.9,-3.94,61.15,0.03,0.01
862AEL31,NM,1000,-0.78,50.96,0,0.01
NEXT30ADD,EQ,40.69,0,43.5,0.03,0.01
985ECL28,NK,1038,0.78,282.47,0,0.01
ACTIVEINFR,SM,170,0,255.26,0.01,0.01
MIEL,SM,16.5,0,29.03,0.06,0.01
11UCL26,NC,1090.2,0,50.61,0,0.01
INVICTA,SM,63.05,-2.25,79.27,0.02,0.01
GVPTECH,EQ,8.11,1.25,149.25,0.13,0.01
GILT5BETA,EQ,63.66,0.33,25.1,0.02,0.01
7PFCL31,N3,970,0,19.9,0,0.01
CLSL,SM,49.5,0,84.84,0.02,0.01
VDEAL,SM,165,-3.51,80.69,0.01,0.01
975SCL35,N0,98750,8.69,79,0,0.01
12VCCL27,N0,98500,0,19.7,0,0.01
719HUDCO28,N7,1095,0.36,119.79,0,0.01
NAGREEKCAP,EQ,26.5,3.19,33.43,0.04,0.01
12VCCL27B,N0,98000,-1.51,19.6,0,0.01
SERVICE,SM,48.95,-2,65.24,0.02,0.01
SPRL,SM,121.25,4.98,21.7,0.01,0.01
TRANSWIND,ST,24.25,-4.9,18.55,0.04,0.01
MPEL,SM,60,0,46.66,0.02,0.01
SURANI,SM,60,0.17,93.29,0.02,0.01
NAMAN,SM,59.95,0,78.33,0.02,0.01
AHLADA,EQ,49.5,-2.48,63.96,0.02,0.01
1075WCAP28,N0,95000,5.56,23.75,0,0.01
JIWANRAM,SM,5.25,-0.94,12.99,0.18,0.01
SSFLPP,E1,124.45,-1.66,215.73,0.01,0.01
IL&FSTRANS,BZ,2.68,3.08,88.16,0.35,0.01
ICDSLTD,EQ,44.5,1.78,57.97,0.02,0.01
848AEL29,NJ,1009,-0.06,109.71,0,0.01
79NHIT35,N1,312.51,-0.46,468.76,0,0.01
AATMAJ,SM,22,1.15,49.72,0.04,0.01
182D120226,TB,99.85,0.25,5991,0.01,0.01
SPPPOLY,SM,15,0,23.09,0.06,0.01
ASHOKAMET,EQ,14.13,1.73,35.32,0.06,0.01
GLOBALPET,SM,118,0,139.09,0.01,0.01
BBTCL,EQ,188,0.91,385.61,0,0.01
767AP38,SG,97.42,-2,438.39,0.01,0.01
879SCL26,NC,1000,1.01,2.42,0,0.01
BHADORA,SM,69.5,4.51,129.27,0.01,0.01
SVPGLOB,BE,3.4,-1.73,43.01,0.24,0.01
SHANTI,EQ,7.26,1.54,8.06,0.12,0.01
GTECJAINX,EQ,19.52,1.51,19.89,0.04,0.01
EQUIPPP,BE,18.49,0.33,190.62,0.05,0.01
MADHAV,EQ,37,1.62,33.1,0.02,0.01
LICNFNHGP,EQ,286.94,0,768.87,0,0.01
HGM,EQ,62.5,2.27,78.72,0.01,0.01
91D120226,TB,99.9,0.1,12487.5,0.01,0.01
GSEC10YEAR,EQ,29.49,-0.64,93.37,0.03,0.01
728NTPC30B,N9,1320,0.04,170.34,0,0.01
1075SCL34C,N1,1049,0,6.23,0,0.01
769NHAI31,NE,1114.01,-0.02,1256.23,0,0.01
FONEBOX,ST,77.9,-5,79.93,0.01,0.01
SHRENIK,BZ,0.39,0,23.87,1.99,0.01
BANKA,EQ,61.05,-0.68,66.68,0.01,0.01
KEEPLEARN,EQ,2.08,-0.48,32.39,0.37,0.01
SGBNOV26,GB,15200,-3.48,622.33,0,0.01
UNIINFO,EQ,14.75,-0.67,15.77,0.05,0.01
BSLSENETFG,EQ,83.68,0.25,289.85,0.01,0.01
ACEINTEG,EQ,19.59,-0.96,19.98,0.04,0.01
SENSEXADD,EQ,85.27,-0.28,8.8,0.01,0.01
ONYX,SM,37,0,67.09,0.02,0.01
965AEL27,N4,1054.9,0.92,500.37,0,0.01
MOMNC,EQ,30.87,0.95,2.32,0.02,0.01
IDENTICAL,SM,18.15,5.52,25.46,0.04,0.01
MOSERVICE,EQ,33.51,0.6,5.28,0.02,0.01
IPHL,SM,60,-0.83,149.94,0.01,0.01
AILIMITED,SM,23.75,-5,14.3,0.03,0.01
GUJRAFFIA,BE,39.75,2.45,21.48,0.02,0.01
NPBET,EQ,298.39,0.62,11.45,0,0.01
SEYAIND,BE,16.97,4.24,45.09,0.04,0.01
SGL,EQ,12.03,-1.8,32.47,0.06,0.01
PFCL41A,NE,950,5.56,6.42,0,0.01
JFLLIFE,SM,10.95,0,36.13,0.06,0.01
654GS2032,GS,99.5,-0.1,155220,0.01,0.01
AMDIND,EQ,43.79,-0.25,83.93,0.01,0.01
LCCINFOTEC,BE,5.27,4.77,66.71,0.13,0.01
GOLDENTOBC,BZ,29.99,-0.2,52.81,0.02,0.01
SHUBHLAXMI,ST,31.5,0,33.4,0.02,0.01
1015ECL29,NR,1015,-0.49,112.77,0,0.01
HAVISHA,EQ,1.71,1.79,26.25,0.36,0.01
TOTAL,EQ,65.8,1.57,106.12,0.01,0.01
VR,SM,153,-1.07,135.86,0,0.01
872MMFSL26,N1,1017,0,25.16,0,0.01
UMESLTD,EQ,4.66,-0.64,12.31,0.13,0.01
753IRFC30,NJ,1100,0.12,1181.64,0,0.01
COMPINFO,BZ,1.41,1.44,12.09,0.44,0.01
DCMFINSERV,EQ,4.46,-4.29,8.38,0.13,0.01
925SCL27,YR,1047,0,11.17,0,0.01
692GS2039,GS,99.2,-0.8,121024,0.01,0.01
MTEDUCARE,BE,1.44,4.35,10.4,0.43,0.01
TNTELE,EQ,9,0.9,41.1,0.07,0.01
704IRFC28,N6,1047.61,0.25,276.45,0,0.01
QFIL,SM,58.4,4.94,16.67,0.01,0.01
ABGSEC,EQ,113.06,1.87,45.27,0.01,0.01
MANUGRAPH,EQ,15.25,-1.61,46.38,0.04,0.01
764NABAR31,N2,1149.05,-0.92,2020.88,0,0.01
FEL,BZ,0.47,2.17,21.38,1.24,0.01
ITALIANE,SM,28.45,-0.18,42.04,0.02,0.01
CMRSL,SM,70,-0.92,20.5,0.01,0.01
DRSDILIP,SM,69.8,4.96,105.14,0.01,0.01
888REC29,NF,1105.14,0,323.3,0,0.01
ABMINTLLTD,EQ,41,-1.8,38.57,0.01,0.01
CINEVISTA,EQ,15.75,-0.63,90.46,0.03,0.01
DECCANTRAN,SM,22.5,-5.46,51.13,0.02,0.01
GOLDSTAR,SM,4.8,0,137.38,0.11,0.01
957ICCL25,YW,1079,2.69,28.46,0,0.01
DHTL,ST,67.1,-1.97,21.09,0.01,0.01
774IREDA31,N7,1094,0,528.97,0,0.01
DAMODARIND,EQ,27.45,0.33,63.96,0.02,0.01
ORTEL,BZ,1.33,-5,4.39,0.4,0.01
SCL19325A,N1,1070,4.29,8.68,0,0.01
PARAMOUNT,SM,44.5,4.22,30.89,0.01,0.01
MOQUALITY,EQ,197.03,0.07,18.67,0,0.01
830PFCL27,N5,1055,0.48,1298.83,0,0.01
BILVYAPAR,BE,7.26,0.83,22.77,0.07,0.01
885SCL26,N9,1011.5,0.1,1002.15,0,0.01
865LTF26,NN,1011.25,0,402.66,0,0.01
HPIL,EQ,130.7,-1.46,149.31,0,0.01
1015SCL28B,AZ,1000,0,8.1,0,0.01
MEDIORG,SM,25,-0.4,29.25,0.02,0.01
IHFL261224,N1,1080,1.87,7.76,0,0
91D270326,TB,99.25,0.05,15229.14,0.01,0
901NHB34,N6,6200,0,825.49,0,0
820IIFL27,N9,989.57,0,52.1,0,0
BAWEJA,SM,30.5,-4.69,56.2,0.02,0
ZENITHEXPO,EQ,214.98,1.64,116.01,0,0
VEEKAYEM,SM,98.1,4.98,57.64,0.01,0
843IHFL29,NC,972,0.2,52.23,0,0
763PN39,SG,97,-3,2524.49,0.01,0
MON50EQUAL,EQ,33.47,-0.27,78.79,0.01,0
ONELIFECAP,BE,14.5,-0.14,19.37,0.03,0
735TN43,SG,96.29,-4.66,1925.8,0.01,0
SILLYMONKS,BE,18.31,-3.58,18.79,0.03,0
MOIPO,EQ,43.85,0.41,4.82,0.01,0
FLFL,BZ,1.25,2.46,25.22,0.37,0
BLUECOAST,EQ,26.84,1.36,46.14,0.02,0
WEWIN,EQ,43,0.12,43.69,0.01,0
SGBFEB28IX,GB,15500,0.5,629.23,0,0
943ECL28,NJ,993,-0.3,58.71,0,0
AROGRANITE,EQ,30.25,-0.56,46.28,0.02,0
EMKAYTOOLS,SM,101,-2.74,107.78,0,0
750IRFC35,NK,1183.99,1.92,437.64,0,0
ARVEE,BE,162.94,-1,179.56,0,0
10IIFL29,N6,1024.9,0.98,31.79,0,0
SINTERCOM,EQ,96.88,4.77,266.69,0,0
1025UCL26A,N1,985,-1.99,68.05,0,0
HBSL,BE,63.48,0.33,45.31,0.01,0
BAFNAPH,BE,116,0.18,274.41,0,0
MHLXMIRU,EQ,195.2,-0.91,207.31,0,0
NMSTEEL,SM,27,0.37,46.68,0.02,0
MOTOGENFIN,EQ,21.7,-1.85,84.04,0.02,0
TGBHOTELS,EQ,9.35,-0.11,27.38,0.05,0
RETAIL,EQ,26.5,6.34,19.62,0.02,0
105UCL2026,NB,1070,3.88,36.54,0,0
RADAAN,EQ,3.07,-0.32,16.63,0.14,0
WEIZMANIND,EQ,91.01,-0.26,141.01,0,0
SETUINFRA,BZ,0.42,2.44,5.28,1.04,0
679GS2034,GS,101.2,0.19,186208,0,0
SEL,SM,200,0,46.38,0,0
GIRIRAJ,SM,158.5,5.56,379.14,0,0
3PLAND,EQ,34.56,-1.62,62.21,0.01,0
SIMBHALS,BZ,8.9,-0.34,36.74,0.04,0
10IIFLSF27,NB,998,-4.04,14.7,0,0
ESENSEX,EQ,83.35,-1.02,15.66,0,0
MOALPHA50,EQ,49.39,0.59,5.78,0.01,0
TECILCHEM,EQ,14.5,-3.33,27.5,0.02,0
KARMAENG,EQ,39.41,-2.04,45.6,0.01,0
ARSHIYA,BZ,1.27,1.6,33.46,0.28,0
CREATIVEYE,EQ,6.83,2.4,13.7,0.05,0
TFL,EQ,13.98,2.64,75.46,0.03,0
704REC28,N4,1180,-4.37,58.66,0,0
OMKARCHEM,BZ,4.94,-2.76,10.17,0.07,0
ANKITMETAL,BZ,1.72,1.78,24.27,0.2,0
ORTINGLOBE,BE,12.63,4.99,10.27,0.03,0
865IHFL27,N1,970,-1.97,9.43,0,0
AMBICAAGAR,EQ,23.45,-1.18,40.28,0.01,0
897MOFSL29,N4,1032,-0.07,98.19,0,0
SYNOPTICS,SM,53.75,4.98,45.58,0.01,0
FLEXITUFF,EQ,9.89,-1.69,32.46,0.03,0
ARTNIRMAN,EQ,44.5,0,111.05,0.01,0
GLOBALE,EQ,12,3.9,12.74,0.03,0
12AFIL27,N0,9779,0.81,48.9,0,0
BALCO,SM,24.3,0,10.61,0.01,0
NEXTMEDIA,EQ,5.44,3.42,36.39,0.05,0
668GS2040,GS,96,-0.89,122880,0,0
NKIND,EQ,66,-3.18,39.67,0,0
GSEC10IETF,EQ,258.6,-0.58,706.78,0,0
PPSL,SM,9,-0.55,26.37,0.03,0
SABAR,ST,5.25,-4.55,9.06,0.05,0
ATLPP,E1,10.4,6.01,41.39,0.02,0
SPLIL,EQ,29.7,1.78,86.13,0.01,0
MORARJEE,BZ,7.79,3.18,28.3,0.03,0
577GS2030,GS,95.95,0.83,113568.4,0,0
915AEL28,NC,1055,-0.47,438.36,0,0
935IIFL28,NZ,1000,0,23.51,0,0
WILLAMAGOR,EQ,28.2,-0.28,30.9,0.01,0
MIDCAPADD,EQ,21.96,0.83,7.91,0.01,0
903SFL28,YI,1038,-1.61,51.82,0,0
1015SCFL29,YY,1035,3.5,15.91,0,0
NDGL,EQ,2580,-0.69,258,0,0
888ECL28,N1,979,0.93,40.06,0,0
IMPEXFERRO,BZ,1.79,0,15.74,0.11,0
758GJ26,SG,100.06,-1,1000.6,0,0
182D050326,TB,99.45,1.01,8552.7,0,0
12AFIL27A,N0,9900,0.79,29.7,0,0
SCL01825,N6,986.35,0,6.9,0,0
925AEL26,N1,1032,-1.05,37.58,0,0
CELLPOINT,SM,16,-0.93,29.9,0.01,0
PALREDTEC,EQ,37.74,0.29,46.17,0.01,0
SFLZC26A,ZC,1828,0,26.01,0,0
1039UCL26,NE,1073.8,0,30.05,0,0
829PFL29,N6,1260,14.54,3.37,0,0
LAKPRE,BZ,5.38,4.67,5.89,0.04,0
DBSTOCKBRO,EQ,25.05,0.36,87.67,0.01,0
ORIENTLTD,EQ,61.24,-1.35,61.24,0,0
SHYAMTEL,EQ,9.9,0,11.16,0.02,0
1040UCL27B,N1,1001,-0.86,34.43,0,0
SGBOCT27,GB,15751.36,0.5,717.91,0,0
GLFL,BE,4.77,4.84,12.94,0.03,0
SGBJAN27,GB,15299,-1.92,372.69,0,0
1025SCL34,Z8,1000,0,14.42,0,0
704GS2029,GS,103,0.33,90640,0,0
NEXT50ADD,EQ,69.21,0.48,6.73,0,0
